provider,title,description,url,thumbnail,author,price,level,category,score,durationInMinutes,skills,lastUpdated
inflearn,"EDA 기반 Microservice 구현 (with Hexagonal, DDD)","도메인 주도 설계, 헥사고널 아키텍처, 이벤트 기반 아키텍처를 모두 적용한 마이크로서비스 개발 과정을 보여줍니다.",https://www.inflearn.com/course/eda기반-마이크로서비스구현,https://cdn.inflearn.com/public/courses/328423/cover/231b7b88-3cd8-43d9-ab78-4a2e1acfae90/328423-eng.jpg,han jeong heon,"₩99,000₩69,300",중급이상,백엔드,,10:6,"MSA,EDA,DDD,hexagonal-architecture",2023/10
udemy,이득우의 언리얼 프로그래밍 Part1 - 언리얼 C++의 이해,"대기업 현업자들이 수강하는 언리얼 C++ 프로그래밍 전문 과정입니다. 
언리얼 엔진 프로그래머라면 게임 개발전에 반드시 알아야 하는 언리얼 C++ 기초에 대해 알려드립니다.",https://www.inflearn.com/course/이득우-언리얼-프로그래밍-part-1,https://cdn.inflearn.com/public/courses/330717/cover/72f68cc8-095a-41d9-b330-d22fb933e696/330717.jpg,이득우,"₩132,000₩92,400",중급이상,"게임 프로그래밍, 게임 개발",5.0,9:56,"언리얼 C++,Unreal Engine",2023/10
udemy,스프링 DB 1편 - 데이터 접근 핵심 원리,"백엔드 개발에 필요한 DB 데이터 접근 기술을 기초부터 이해하고, 완성할 수 있습니다. 스프링 DB 접근 기술의 원리와 구조를 이해하고, 더 깊이있는 백엔드 개발자로 성장할 수 있습니다.",https://www.inflearn.com/course/스프링-db-1,https://cdn.inflearn.com/public/courses/328723/cover/062da05a-55e9-49f1-a9ad-3e67ea079fe9/328723-eng.png,김영한,"₩77,000",초급,"백엔드, 웹 개발",5.0,10:4,"Spring,MVC,spring-jdbc",2023/06
inflearn,스프링 부트 - 핵심 원리와 활용,실무에 필요한 스프링 부트는 이 강의 하나로 모두 정리해드립니다.,https://www.inflearn.com/course/스프링부트-핵심원리-활용,https://cdn.inflearn.com/public/courses/330459/cover/00d1bd8e-3b9d-4c62-b801-fea717c942fa/330459-eng.png,김영한,"₩99,000",초급,"백엔드, 웹 개발",5.0,15:45,"Spring Boot,Spring,spring-boot-actuator,Prometheus,grafana",2023/03
udemy,이득우의 언리얼 프로그래밍 Part3 - 네트웍 멀티플레이 프레임웍의 이해,"또 하나의 언리얼 엔진이라고도 불리는 네트웍 멀티플레이어 프레임웍을 학습합니다. 네트웍 멀티플레이어 게임을 제작할 때 반드시 알아야 하는 주요 개념, 내부 동작 원리, 최적화 기법을 학습한 후 핵&슬래시 유형의 PvP 대전 게임을 제작합니다.",https://www.inflearn.com/course/이득우-언리얼-프로그래밍-part-3,https://cdn.inflearn.com/public/courses/332060/cover/5f170925-2fe2-4855-862f-cdc52a339d28/332060_v2.jpg,이득우,"₩275,000₩192,500",중급이상,"게임 프로그래밍, 게임 개발, 네트워크",5.0,11:20,"Unreal Engine,언리얼 C++,네트워크",2023/10
inflearn,스프링 DB 2편 - 데이터 접근 활용 기술,"백엔드 개발에 필요한 DB 데이터 접근 기술을 활용하고, 완성할 수 있습니다. 스프링 DB 접근 기술의 원리와 구조를 이해하고, 더 깊이있는 백엔드 개발자로 성장할 수 있습니다.",https://www.inflearn.com/course/스프링-db-2,https://cdn.inflearn.com/public/courses/328990/cover/9a948ec2-300a-48f8-98ce-3b71863d03c0/328990-eng.png,김영한,"₩99,000",초급,"백엔드, 웹 개발",5.0,13:59,"Spring,MVC,spring-jpa,JPA,querydsl",2023/03
udemy,실전! Querydsl,"Querydsl의 기초부터 실무 활용까지, 한번에 해결해보세요!",https://www.inflearn.com/course/querydsl-실전,https://cdn.inflearn.com/public/courses/324476/course_cover/c712dd1a-80e3-413f-93af-ca89bddd6fe9/kyh_DSL2.png,김영한,"₩88,000",중급이상,"백엔드, 웹 개발, 데이터베이스",5.0,6:24,"Java,JPA",2023/05
inflearn,독하게 시작하는 C 프로그래밍,취미가 아닌 전문 개발자의 길을 가려는 분들을 위한 C언어 프로그래밍 강의입니다. 쓰고 독하게 배워서 달달한 길로 가고 싶은 분들에게 권합니다!,https://www.inflearn.com/course/독하게-시작하는-c프로그래밍,https://cdn.inflearn.com/public/courses/331984/cover/f39140cd-68e4-4555-a1a0-29b541fc221f/331984-eng.jpg,널널한 개발자,"₩99,000",초급,"프로그래밍 언어, 시스템, 컴퓨터 구조",5.0,28:58,"vc++,C,컴퓨터 구조,assembly-language",2023/10
udemy,이득우의 언리얼 프로그래밍 Part2 - 언리얼 게임 프레임웍의 이해,"대기업 현업자들이 수강하는 언리얼 C++ 프로그래밍 전문 과정입니다. 
언리얼 C++ 프로그래밍을 사용해 핵&슬래시 로그라이크 게임 예제를 처음부터 끝까지 체계적으로 제작하는 방법을 알려드립니다.",https://www.inflearn.com/course/이득우-언리얼-프로그래밍-part-2,https://cdn.inflearn.com/public/courses/330963/cover/dbc186a9-38fe-49ec-87c0-77d351d4b646/330963.jpg,이득우,"₩198,000₩138,600",중급이상,"게임 프로그래밍, 게임 개발",4.8,10:20,"Unreal Engine,언리얼 C++,UE Blueprint",2023/09
udemy,실전! 스프링 데이터 JPA,스프링 데이터 JPA는 기존의 한계를 넘어 마치 마법처럼 리포지토리에 구현 클래스 없이 인터페이스만으로 개발을 완료할 수 있습니다. 그리고 반복 개발해온 기본 CRUD 기능도 모두 제공합니다. 스프링 데이터 JPA 실무 노하우를 전해드립니다.,https://www.inflearn.com/course/스프링-데이터-JPA-실전,https://cdn.inflearn.com/public/courses/324474/course_cover/58c8632c-7a6e-4c76-9893-d7fffa32faf2/kyh_JPA_Spring2%20%E1%84%87%E1%85%A9%E1%86%A8%E1%84%89%E1%85%A1%206.png,김영한,"₩88,000",중급이상,"백엔드, 웹 개발",5.0,7:17,"Java,Spring,Spring Boot,JPA",2023/06
inflearn,[코드팩토리] [초급] NestJS REST API 백엔드 완전 정복 마스터 클래스 - Part 1 NestJS Core,"자바스크립트, 타입스크립트 다음은 백엔드 개발! NestJS를 이용한 REST API 백엔드 개발, Socket IO 개발 및 배포를 할 수 있게 됩니다.",https://www.inflearn.com/course/nestjs-백엔드-완전정복-마스터-클래스-1,https://cdn.inflearn.com/public/courses/331985/cover/f0501069-2139-4112-aafa-a9b3a2932860/331985-eng.png,코드팩토리,"₩66,000₩46,200",초급,"백엔드, 데이터베이스, 데브옵스 · 인프라, 웹 개발",5.0,24:36,"NestJS,REST API,backend,JavaScript,TypeScript",2023/10
udemy,외워서 끝내는 네트워크 핵심이론 - 기초,TCP/IP에서 HTTP까지! 네트워크에 대한 기본 이론이 부족한 분들이 '외워서'라도 전공 이론을 이해하고자 희망하는 분들을 위해 준비한 강의입니다. 할 수 있습니다!,https://www.inflearn.com/course/네트워크-핵심이론-기초,https://cdn.inflearn.com/public/courses/329534/cover/76d5fd7f-3e76-4801-bb8f-523d10ff5829/329534-eng.jpg,널널한 개발자,"₩77,000",입문,"네트워크, 교양 · 기타, 웹 개발",5.0,7:11,"네트워크,프로토콜",2022/10
inflearn,프로그래밍 시작하기 : 파이썬 입문 (Inflearn Original),"이미 2만명 이상이 학습하고 만족한 최고의 프로그래밍 입문 강의. 
udemy, 프로그래밍을 전혀 접해보지 못한 사람부터 실제 활용 가능한 프로그래밍 능력까지 갈 수 있도록 도와주는 강의입니다.",https://www.inflearn.com/course/프로그래밍-파이썬-입문-인프런-오리지널,https://cdn.inflearn.com/public/courses/324145/cover/184a19f3-c99f-4eea-a764-dc8e71d4c37a/324145.png,인프런,"₩33,000",입문,프로그래밍 언어,4.7,14:17,Python,2023/04
inflearn,토비의 스프링 부트 - 이해와 원리,"스프링 부트의 핵심 기능을 직접 만들어보면서 스프링 부트의 동작 원리를 이해하고, 이를 통해 스프링 부트를 잘 학습하고 사용하는 방법을 배우는 강의입니다. 스프링 부트가 사용하는 스프링 프레임워크의 다양한 활용법을 익힐 수 있습니다.",https://www.inflearn.com/course/토비-스프링부트-이해와원리,https://cdn.inflearn.com/public/courses/329974/cover/fe5d2e63-04c3-472e-9bd5-9b26857629a8/329974-eng.png,토비,"₩99,000",초급,"백엔드, 웹 개발",5.0,11:6,"Spring Boot,Spring,spring-jdbc",2023/02
udemy,"Vue 3 & Firebase 10 커뮤니티 만들기 풀스택 (with Pinia, Quasar, Tiptap, VueUse)","Vue3 & Firebase(v10)를 활용하여 커뮤니티를 만드는 강의로 Vue3 실전 활용법, Firebase 기초부터 실전, 최신 웹 기술 활용법, 지식공유자 경험 공유 등 다양한 방면으로 개발자로써 한 단계 성장할 수 있도록 돕습니다!",https://www.inflearn.com/course/vue3-firebase10-커뮤니티만들기,https://cdn.inflearn.com/public/courses/331993/cover/4c4393c8-278a-4a7d-92e9-fe2185edcbc9/331993-eng.png,짐코딩,"₩165,000",중급이상,"프론트엔드, 풀스택, 웹 개발",5.0,16:38,"Vue.js,Firebase,Quasar,Vue 3,algolia",2023/10
inflearn,제대로 파는 자바 (Java) - by 얄코,"적당히 배워서는 살아남을 수 없는 시대. 자바, 한 번에 제대로 파서 마스터하세요!",https://www.inflearn.com/course/제대로-파는-자바,https://cdn.inflearn.com/public/courses/330942/cover/32f08c99-6b4e-4fca-9069-7e1c4b5a8290/330942-eng.png,얄팍한 코딩사전,"₩66,000",입문,프로그래밍 언어,5.0,21:18,"Java,객체지향,함수형 프로그래밍",2023/10
udemy,한입 크기로 잘라 먹는 리액트(React.js) : 기초부터 실전까지,"개념부터 독특한 프로젝트까지 함께 다뤄보며 자바스크립트와 리액트를 이 강의로 한 번에 끝내요.
학습은 짧게, 응용은 길게 17시간 분량의 All-in-one 강의!",https://www.inflearn.com/course/한입-리액트,https://cdn.inflearn.com/public/courses/328340/cover/13465c65-a83b-4bc1-82b3-71832345759d/328340-eng.png,이정환 Winterlood,"₩41,800₩33,440",초급,"프론트엔드, 웹 개발",4.9,16:57,"React,JavaScript,Node.js",2022/03
udemy,"그림으로 배우는 쿠버네티스(""v1.22""-v1.24, v1.27~)","쿠버네티스(☸)의 많은 부분을 그림으로 배울 수 있도록 구성되어 있습니다. 🧭
특히 이미 검증된 베스트셀러 '컨테이너 인프라 환경 구축을 위한 쿠버네티스/도커'에서 검증된 내용을 더욱 확장해서 쿠버네티스 자체를 더 깊이 학습하도록 작성하였습니다. 💯
udemy,https://www.inflearn.com/course/그림으로-배우는-쿠버네티스,https://cdn.inflearn.com/public/courses/327444/cover/7a557624-907f-49c0-ab02-a5817f6511a3/327444-eng-original.png,조훈(Hoon Jo),"₩198,000",중급이상,"데브옵스 · 인프라, 클라우드, 백엔드",4.9,24:36,"Kubernetes,Docker",2023/10
inflearn,[코드팩토리] [초급] Flutter 3.0 앱 개발 - 10개의 프로젝트로 오늘 초보 탈출!,iOS 앱과 Android 앱을 코드 한번만 작성해서 모두 제작한다! 코드팩토리의 Flutter 초보 탈출 강의! 디테일한 이론과 흥미로운 프로젝트를 진행하며 탄탄한 기본기 쌓기!,https://www.inflearn.com/course/플러터-프로젝트,https://cdn.inflearn.com/public/courses/328329/cover/78c28017-e321-493d-a9f3-1ce2b2b67230/flutter-inflearn.jpeg,코드팩토리,"₩99,000₩69,300",초급,모바일 앱 개발,4.9,34:20,"Flutter,클론코딩",2023/08
udemy,[리액트 2부] 고급 주제와 훅,리액트(React)는 실무에서 가장 많이 찾는 인기 프론트엔드 기술입니다. 리액트를 이용해 애플리케이션을 빠르게 개발하고 유지 보수 가능한 코드를 만들어 보세요.,https://www.inflearn.com/course/리액트-고급주제와-훅-2부,https://cdn.inflearn.com/public/courses/332123/cover/62407827-5375-47cf-91fa-4877bf72c139/332123-eng.png,김정환,"₩77,000₩53,900",중급이상,"프론트엔드, 웹 개발",,19:47,"React,React Context,react-component,react-router,react-hooks",2023/10
inflearn,"[코드팩토리] [중급] Flutter 진짜 실전! 상태관리, 캐시관리, Code Generation, GoRouter, 인증로직 등 중수가 되기 위한 필수 스킬들!",이 강의를 통해 주니어급 Flutter 개발자가 중급 Flutter 개발자가 되기까지 필요한 필수 지식들을 단기간에 배워볼 수 있습니다.,https://www.inflearn.com/course/플러터-실전,https://cdn.inflearn.com/public/courses/328615/cover/4abab928-4fd1-442b-b422-3968f9cc393e/thumbnail.png,코드팩토리,"₩132,000₩92,400",중급이상,모바일 앱 개발,4.9,21:6,"Flutter,하이브리드 앱",2023/10
udemy,[C#과 유니티로 만드는 MMORPG 게임 개발 시리즈] Part1: C# 기초 프로그래밍 입문,"기초 프로그래밍 지식이 없는 사람들을 위한 C# 프로그래밍 기초 강의입니다.
문법 암기 위주의 수업이 아니라, 최대한 필요한 부분만을 요약해서 진행합니다.",https://www.inflearn.com/course/유니티-mmorpg-개발-part1,https://cdn.inflearn.com/public/courses/324718/course_cover/9fa72fd8-ce56-4091-aa73-a31145acf37e/rookiss-rpg-1.png,Rookiss,"₩44,000",입문,"게임 프로그래밍, 게임 개발, 프로그래밍 언어",4.9,11:47,C#,2023/05
udemy,"파이썬입문과 크롤링기초 부트캠프 [파이썬, 웹, 데이터 이해 기본까지] (2023년까지 업데이트)","데이터 과학, 빅데이터, 크롤링을 익히고자 하시는 분들을 위해, 
(1) 짧은 시간안에 가장 필요한 파이썬 핵심 문법을 정리하고, (2) 실전 크롤링 프로그래밍을 통해 파이썬과 크롤링에 익숙해집니다.",https://www.inflearn.com/course/python-crawling-basic,https://cdn.inflearn.com/public/courses/324082/cover/2b425605-6198-49d8-853d-38bb7dd750fa/324082.png,잔재미코딩,"₩66,000",입문,"데이터 분석, 데이터 수집 · 처리, 프로그래밍 언어",4.9,17:38,"Python,웹 크롤링",2023/11
udemy,Spring Cloud로 개발하는 마이크로서비스 애플리케이션(MSA),"Spring framework의 Spring Cloud 제품군을 이용하여 마이크로서비스 애플리케이션을 개발해 보는 과정입니다.  Cloud Native Application으로써의 Spring Cloud를 어떻게 사용하는지, 구성을 어떻게 하는지에 대해 배울 수 있는 강의입니다.",https://www.inflearn.com/course/스프링-클라우드-마이크로서비스,https://cdn.inflearn.com/public/courses/326544/cover/02f637a6-7369-4ab0-b638-3eccd9c339db/326544-eng.png,Dowon Lee,"₩88,000₩70,400",초급,"백엔드, 데브옵스 · 인프라, 웹 개발, 클라우드",4.9,27:28,"Spring Cloud,MSA,Spring Boot,Kafka,아키텍처",2023/02
inflearn,[코드캠프] 부트캠프에서 만든 고농축 프론트엔드 코스,"1년간 300여명의 개발자를 배출한 ‘진짜’ 부트캠프의 고농축 커리큘럼 입니다. 이 강의 하나로 여러분은 현업 주니어 개발자 수준까지 성장 가능하며, 프론트엔드 기술스택의 활용 능력과 지식을 얻게 될거에요. 누구나 사회적, 경제적, 교육적 배경에 상관없이 커리어를 쌓을 수 있도록, [인프런X코드캠프]가 준비했습니다 :)",https://www.inflearn.com/course/부트캠프-프론트엔드-고농축-코스,https://cdn.inflearn.com/public/courses/329963/cover/26550c58-624a-41c8-86dc-fea75b6c3b22/thumbnail-frontnew.png,코드캠프,"₩396,000₩316,800",입문,"프론트엔드, 웹 개발",4.6,128:6,"React,Next.js,GraphQL,SEO,Node.js",2023/04
udemy,그림으로 쉽게 배우는 자료구조와 알고리즘 (기본편),이 강의를 통해 선형 자료구조와 알고리즘을 배울 수 있습니다.,https://www.inflearn.com/course/자료구조-알고리즘-기본,https://cdn.inflearn.com/public/courses/328971/cover/7686af10-86a1-427f-bc6b-9b2c3d2d25f8/328971-eng.png,감자,"₩55,000",입문,"알고리즘 · 자료구조, 교양 · 기타",4.9,4:19,알고리즘,2023/03
inflearn,[개정판] 파이썬 머신러닝 완벽 가이드,이론 위주의 머신러닝 강좌에서 탈피하여 머신러닝의 핵심 개념을 쉽게 이해함과 동시에 실전 머신러닝 애플리케이션 구현 능력을 갖출 수 있도록 만들어 드립니다.,https://www.inflearn.com/course/파이썬-머신러닝-완벽가이드,https://cdn.inflearn.com/public/courses/324238/cover/7e380aa0-48ba-4ee7-a6b2-8da7900568d6/324238-eng.png,권 철민,"₩99,000",초급,"인공지능, 데이터 사이언스",4.9,37:37,"Python,머신러닝,통계",2022/07
udemy,10주완성 C++ 코딩테스트 | 알고리즘 코딩테스트,"네이버, 카카오, 삼성의 코딩테스트를 10주만에 합격시킨 최고의 코딩테스트 강의!",https://www.inflearn.com/course/10주완성-코딩테스트-큰돌,https://cdn.inflearn.com/public/courses/326485/cover/830bce1a-023d-45ff-a0d1-883bc9074b9a/326485-eng.png,큰돌,"₩165,000",초급,"알고리즘 · 자료구조, 프로그래밍 언어",4.8,25:50,"코딩 테스트,C++",2023/09
inflearn,"Vue3 완벽 마스터: 기초부터 실전까지 - ""기본편""",Vue.js 3로 웹 개발을 할 수 있도록 공식문서를 기반으로 하여 Vue 3 스펙을 자세하고 깊이있게 다룹니다.,https://www.inflearn.com/course/vue-완벽-기본,https://cdn.inflearn.com/public/courses/329012/cover/3ad56c8b-291e-487e-9c2e-77a5eca630cd/003.png,짐코딩,"₩66,000",초급,"프론트엔드, 웹 개발",5.0,7:47,Vue.js,2022/07
udemy,Jenkins를 이용한 CI/CD Pipeline 구축,"본 강의는 클라우드 네이티브 애플리케이션을 구성하는 4가지 핵심 요소(MSA, CI/CD, DevOps, Container) 중 하나인 CI(Continuous Integration, 지속적인 통합)과 CD(Continuous Deployment, 지속적인 배포) 파이프라인에 대한 다루는 강의입니다. 본 강의를 통해 CI/CD 도구인 Jenkins를 이용하여 로컬 환경과 클라우드 환경에 자신만의 자동화 파이프라인을 구축하고, 배포하는 데에 필요한 과정을 이해하고 실습해 볼 수 있습니다.",https://www.inflearn.com/course/젠킨스-ci-cd-파이프라인,https://cdn.inflearn.com/public/courses/329275/cover/5173e069-8ce9-45e8-905a-f0f5f345899c/329275-b-eng.png,Dowon Lee,"₩88,000₩70,400",초급,"데브옵스 · 인프라, 백엔드, 클라우드",4.7,14:54,"Jenkins,CI/CD,Ansible,Kubernetes,SonarQube",2023/07
inflearn,넓고 얕게 외워서 컴공 전공자 되기,"넓고 얕게 외워서 컴퓨터 공학 전공자가 되고 싶은 모든 비전공 초보자를 위한 강의입니다. 컴퓨터 구조, 운영체제 등 컴퓨터 공학 전공 필수과목에서 어떤 것을 배울 수 있는지 빠른 시간에 알 수 있습니다. 무엇보다 외워서라도 끝낼 수 있습니다!",https://www.inflearn.com/course/넓고얕게-컴공-전공자,https://cdn.inflearn.com/public/courses/329605/cover/7f7d4d9a-e739-482c-8e16-71081b4793b5/329605-eng.jpg,널널한 개발자,"₩66,000",입문,"교양 · 기타, 알고리즘 · 자료구조",5.0,4:59,운영체제,2022/10
udemy,자바(Java) 알고리즘 문제풀이 입문: 코딩테스트 대비,자바(Java)로 코딩테스트를 준비하시는 분을 위한 강좌입니다. 코딩테스트에서 가장 많이 출제되는 Top 10 Topic을 다루고 있습니다. 주제와 연동하여 기초문제부터 중급문제까지 단계적으로 구성되어 있으니 차근차근 따라하시면 좋은 결과가 있을 겁니다.,https://www.inflearn.com/course/자바-알고리즘-문제풀이-코테대비,https://cdn.inflearn.com/public/courses/326750/cover/d7815167-2a01-42c1-aacf-bbd32a3705bc/326750-eng.png,김태원,"₩77,000",입문,"알고리즘 · 자료구조, 프로그래밍 언어",4.8,22:27,"Java,코딩 테스트",2023/01
inflearn,재고시스템으로 알아보는 동시성이슈 해결방법,동시성 이슈란 무엇인지 알아보고 처리하는 방법들을 학습합니다.,https://www.inflearn.com/course/동시성이슈-재고시스템,https://cdn.inflearn.com/public/courses/328995/cover/8149920a-4b6f-480e-b7ac-10d71a5fef24/328995-eng.png,최상용,"₩19,800",초급,"백엔드, 웹 개발",4.7,1:8,"동시성,Spring,Java",2023/07
udemy,[C#과 유니티로 만드는 MMORPG 게임 개발 시리즈] Part4: 게임 서버,"네트워크/멀티쓰레드/운영체제 등 핵심 전공 지식을 공부하고
게임 서버를 바닥부터 만들어보면서 MMORPG 기술을 학습하는 강의입니다.",https://www.inflearn.com/course/유니티-mmorpg-개발-part4,https://cdn.inflearn.com/public/courses/324941/course_cover/a8153884-2434-4e0d-a6af-edeb9f2d267d/rookiss-rpg-4-1.jpg,Rookiss,"₩88,000",중급이상,"게임 프로그래밍, 백엔드, 게임 개발",4.9,18:26,"C#,Unity,네트워크",2020/04
udemy,Flutter 초입문 왕초보편,이 강의는 플러터(Flutter)를 시작하는 모든 분들이 플러터 기초를 빠르게 학습할 수 있도록 만들었습니다.,https://www.inflearn.com/course/플러터-초입문-왕초보,https://cdn.inflearn.com/public/courses/329497/cover/ad92112c-9329-4ae1-a0f0-3901233b65f1/329497-eng.png,오준석,"₩99,000",입문,모바일 앱 개발,4.9,9:27,"Flutter,iOS,dart,Android",2023/08
inflearn,[코드캠프] 부트캠프에서 만든 고농축 백엔드 코스,코딩과 사랑에 빠져버린 8년차 풀스택 개발자 Captain의 사심이 가득 담긴 커리큘럼이에요. 백엔드의 모든 것을 다 알려주고 싶은 Captain의 마음이 녹아있죠! 이 강의를 듣다보면 '이렇게까지 알려준다고?' 하는 생각을 떨칠 수 없을 거예요. 모두가 어려워하는 부분까지 꼭꼭 씹어 떠먹여주는 이 강의로 시작해 볼까요?,https://www.inflearn.com/course/부트캠프-백엔드-고농축-코스,https://cdn.inflearn.com/public/courses/329996/cover/2be99a0c-5d5a-4e15-b85b-53c09879058a/thumbnail-backnew.png,코드캠프,"₩396,000",입문,"백엔드, 웹 개발",4.9,106:58,"NestJS,Node.js,JavaScript,Docker,REST API",2023/04
udemy,[코드팩토리] [초급] 8시간만에 끝내는 코드팩토리의 Typescript 완전정복 풀코스,TypeScript(타입스크립트)를 하나도 모르더라도 강의 하나로 Typescript 문법 고수로 만들어주는 고농축 Typescript 문법 강의입니다.,https://www.inflearn.com/course/코드팩토리-타입스크립트-풀코스,https://cdn.inflearn.com/public/courses/330970/cover/3c24c2b8-9dc1-44ed-af4e-2b58542a6504/330970-eng.png,코드팩토리,"₩44,000₩30,800",초급,"프로그래밍 언어, 프론트엔드, 백엔드, 웹 개발",5.0,8:10,TypeScript,2023/08
inflearn,코딩테스트 [ ALL IN ONE ],코딩테스트 [ ALL IN ONE ] ✔️ 강의 하나로 끝내기,https://www.inflearn.com/course/코딩테스트-입문-파이썬,https://cdn.inflearn.com/public/courses/328689/cover/6ef42916-2254-4b56-b03a-5c6afa1b13d8/Thumbnail.png,개발남노씨,"₩99,000",초급,"알고리즘 · 자료구조, 프로그래밍 언어",4.9,16:14,"Python,알고리즘,코딩 테스트",2023/10
